commodity,scale,corr_raw,coef_drought,pval_drought,coef_flood,pval_flood,r2
Maize,24,-0.3773412329396478,0.14360569640514617,0.4789287865966684,-0.048520285931969685,0.4709752349222417,0.4582233180177194
Sorghum,24,-0.29852111096822803,0.14621336186202474,0.47414859289401856,-0.055988669646362274,0.41175231721133,0.21609136043457144
Wheat,24,-0.2623561866462717,0.17251605870491432,0.36389026117748524,-0.03065715774057654,0.625990483931449,0.31478764090990274
Beans,24,-0.33970166316145334,-0.09727045260169709,0.4545876130960119,-0.08539458360425181,0.08130911398918399,0.13485960818402332
Groundnuts,24,-0.5404312326107973,0.23061723378668947,0.3715447953495621,-0.31694615839237766,0.0023601912640612024,0.38527087790680015
Millet (finger),1,0.31432318690790534,0.28765721617963236,0.1755256387641863,0.2357362577504093,0.09207228841723915,0.4330146484615325
Oil (palm),24,-0.7315184977702383,-0.05409538014080665,0.8102686228924691,-0.22884040003430103,0.010484333459108906,0.7215968313067675
Oil (vegetable),24,-0.8092501014904431,-0.08653313063859189,0.4757758487177337,-0.19574092891146375,9.487802079133924e-05,0.6670437822831059
Rice,24,-0.4363699413421116,0.16659007365412365,0.30441203754702745,-0.1260249820637059,0.04638460708914708,0.37780776860167153
Sweet potatoes,24,-0.5625466019675958,0.22773134600754646,0.362157578010291,-0.32047516486688593,0.0027855390464871523,0.38662551056222105
