commodity,scale,n_total,n_drought,n_flood,corr_overall,corr_drought,corr_flood
Beans,1,584,254,330,0.008653348672647209,0.125178739121249,-0.11451078960279196
Beans,3,584,204,380,-0.05180787336524454,0.1758017071968105,-0.1298569728081493
Beans,6,584,192,392,-0.09095956307498326,0.14641453119486053,-0.16318264445401776
Beans,12,584,148,436,-0.11304686589150469,0.27099716916256406,-0.1704288377974554
Maize,1,607,269,338,-0.05903762694318032,-0.03800400311113254,0.08640132440658815
Maize,3,607,227,380,-0.043260431773634964,-0.050757160509884186,0.10859189093237989
Maize,6,607,221,386,-0.054896560472477554,-0.21794142518713405,0.11000530483892852
Maize,12,607,176,431,-0.09090040238923539,-0.41616994959040693,0.1022938325948205
Rice,1,606,274,332,-0.0671874428961946,-0.026608551460421473,0.026837859589423543
Rice,3,606,221,385,-0.07020681332986457,-0.029196178652981207,0.07724691257701528
Rice,6,606,201,405,-0.08834228427560392,-0.18317312989473772,0.10011832849420767
Rice,12,606,151,455,-0.11342030299352579,-0.4427500825574723,0.104730858953236
Sorghum,1,541,242,299,-0.06441659156442538,-0.008699307606813688,0.050726064203570086
Sorghum,3,541,211,330,-0.04953657671387585,-0.019810658468800917,0.09523411743874002
Sorghum,6,541,210,331,-0.05039039811133688,-0.17700737602087704,0.11666887302245922
Sorghum,12,541,170,371,-0.06742526430957561,-0.40813375384803396,0.1286845445219481
Wheat,1,407,182,225,-0.10328455111080763,-0.09772764955610137,0.01870324216392426
Wheat,3,407,148,259,-0.10378310056422423,-0.09785374259307167,0.08356199009841017
Wheat,6,407,133,274,-0.12100489067150648,-0.2369627036479745,0.09044962472126612
Wheat,12,407,113,294,-0.141875916685312,-0.5841706575137211,0.08570289401629375
